LMK_KEY,POSTCODE,CITY,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_ENERGY_EFF,ROOF_ENERGY_EFF,WINDOWS_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,HOT_WATER_ENERGY_EFF,LIGHTING_ENERGY_EFF,FLOOR_ENERGY_EFF,CONSTRUCTION_AGE_BAND,PROPERTY_TYPE,BUILT_FORM,ENERGY_CONSUMPTION_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,HEATING_COST_CURRENT,HOT_WATER_COST_CURRENT,LIGHTING_COST_CURRENT,TOTAL_COST_CURRENT,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,GLAZED_TYPE,MAINS_GAS_FLAG,SOLAR_WATER_HEATING_FLAG,LOW_ENERGY_LIGHTING,MULTI_GLAZE_PROPORTION,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,WIND_TURBINE_COUNT
Cambridge_0,XX0 0YZ,Cambridge,93.69562584737287,6,Good,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Semi-Detached,176.00007828705412,35.20001565741082,824.5218742146079,150,80,1054.521874214608,C,B,Double glazing,Y,N,9,100,0,0,0
Cambridge_1,XX1 1YZ,Cambridge,82.8131658944445,3,Poor,Average,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Detached,190.54404420884862,38.10880884176972,788.9777771632873,150,80,1018.9777771632873,C,B,Double glazing,Y,N,66,100,0,0,0
Cambridge_2,XX2 2YZ,Cambridge,92.07222459486046,6,Good,Very Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,268.952878609112,53.79057572182241,1238.1544922366202,150,80,1468.1544922366202,E,B,Double glazing,Y,N,2,100,0,0,0
Cambridge_3,XX3 3YZ,Cambridge,70.90145836341719,6,Poor,Good,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Mid-Terrace,189.38340667402866,37.87668133480573,671.3779861510375,150,80,901.3779861510375,D,B,Double glazing,Y,N,2,100,0,0,0
Cambridge_4,XX4 4YZ,Cambridge,63.89490680195735,4,Poor,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Detached,301.0025283674676,60.200505673493524,961.6264248596434,150,80,1191.6264248596435,E,B,Double glazing,Y,N,41,100,0,0,0
Cambridge_5,XX5 5YZ,Cambridge,117.26488028327914,4,Very Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Detached,201.8827037635793,40.37654075271586,1183.6875544050415,150,80,1413.6875544050415,D,B,Double glazing,Y,N,58,100,0,0,0
Cambridge_6,XX6 6YZ,Cambridge,71.68882148845513,6,Very Good,Very Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,339.3366036407107,67.86732072814213,1216.3320601448781,150,80,1446.3320601448781,D,B,Double glazing,Y,N,87,100,0,0,0
Cambridge_7,XX7 7YZ,Cambridge,111.09896988227804,6,Average,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Mid-Terrace,306.36857160787383,61.27371432157477,1701.8616354969859,150,80,1931.8616354969859,D,B,Double glazing,Y,N,94,100,0,0,0
Cambridge_8,XX8 8YZ,Cambridge,67.20643011464739,4,Good,Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Semi-Detached,242.51637413217466,48.50327482643493,814.9329874885839,150,80,1044.9329874885839,C,B,Double glazing,Y,N,29,100,0,0,0
Cambridge_9,XX9 0YZ,Cambridge,123.99056627353409,5,Good,Good,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Semi-Detached,257.39095790165896,51.478191580331796,1595.7025311957034,150,80,1825.7025311957034,C,B,Double glazing,Y,N,86,100,0,0,0
Cambridge_10,XX10 1YZ,Cambridge,74.71803271502255,6,Good,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Detached,165.76303710601996,33.152607421203996,619.2744014714549,150,80,849.2744014714549,C,B,Double glazing,Y,N,11,100,0,0,0
Cambridge_11,XX11 2YZ,Cambridge,66.724312132169,3,Good,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Mid-Terrace,296.1886264099842,59.23772528199684,988.1491179289092,150,80,1218.1491179289092,E,B,Double glazing,Y,N,37,100,0,0,0
