LMK_KEY,POSTCODE,CITY,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_ENERGY_EFF,ROOF_ENERGY_EFF,WINDOWS_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,HOT_WATER_ENERGY_EFF,LIGHTING_ENERGY_EFF,FLOOR_ENERGY_EFF,CONSTRUCTION_AGE_BAND,PROPERTY_TYPE,BUILT_FORM,ENERGY_CONSUMPTION_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,HEATING_COST_CURRENT,HOT_WATER_COST_CURRENT,LIGHTING_COST_CURRENT,TOTAL_COST_CURRENT,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,GLAZED_TYPE,MAINS_GAS_FLAG,SOLAR_WATER_HEATING_FLAG,LOW_ENERGY_LIGHTING,MULTI_GLAZE_PROPORTION,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,WIND_TURBINE_COUNT
Boston_0,XX0 0YZ,Boston,75.36795028713114,3,Average,Very Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Mid-Terrace,251.17186381957342,50.234372763914685,946.5154272939841,150,80,1176.515427293984,E,B,Double glazing,Y,N,77,100,0,0,0
Boston_1,XX1 1YZ,Boston,107.21139950681618,7,Good,Good,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,231.3818086859602,46.27636173719205,1240.3383764820096,150,80,1470.3383764820096,E,B,Double glazing,Y,N,80,100,0,0,0
Boston_2,XX2 2YZ,Boston,83.53820464147267,4,Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Mid-Terrace,234.55240916962393,46.91048183392479,979.7043578181238,150,80,1209.7043578181238,C,B,Double glazing,Y,N,33,100,0,0,0
Boston_3,XX3 3YZ,Boston,97.64929374986485,5,Poor,Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Detached,220.35964627656193,44.07192925531239,1075.8981914938156,150,80,1305.8981914938156,D,B,Double glazing,Y,N,98,100,0,0,0
Boston_4,XX4 4YZ,Boston,81.2673591407232,7,Good,Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Detached,211.23542024035007,42.247084048070015,858.327237995706,150,80,1088.3272379957061,C,B,Double glazing,Y,N,70,100,0,0,0
Boston_5,XX5 5YZ,Boston,110.03913310542906,6,Average,Very Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Detached,257.09134661908666,51.418269323817334,1414.5054455435838,150,80,1644.5054455435838,C,B,Double glazing,Y,N,29,100,0,0,0
Boston_6,XX6 6YZ,Boston,99.48860910582665,4,Poor,Good,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Detached,303.4872420358829,60.69744840717658,1509.676179575668,150,80,1739.676179575668,D,B,Double glazing,Y,N,58,100,0,0,0
Boston_7,XX7 7YZ,Boston,113.56633722733143,3,Poor,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,219.5340969561705,43.9068193912341,1246.5841643911067,150,80,1476.5841643911067,D,B,Double glazing,Y,N,9,100,0,0,0
Boston_8,XX8 8YZ,Boston,45.47112282171523,5,Good,Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Mid-Terrace,342.2355791291403,68.44711582582806,778.091802627099,150,80,1008.091802627099,D,B,Double glazing,Y,N,31,100,0,0,0
Boston_9,XX9 0YZ,Boston,116.59495796158694,4,Good,Good,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Semi-Detached,258.68546468722644,51.73709293744529,1508.0710440240375,150,80,1738.0710440240375,D,B,Double glazing,Y,N,43,100,0,0,0
Boston_10,XX10 1YZ,Boston,71.79859668224603,7,Poor,Poor,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Detached,214.88760566530323,42.97752113306065,771.4314265588317,150,80,1001.4314265588317,E,B,Double glazing,Y,N,70,100,0,0,0
Boston_11,XX11 2YZ,Boston,37.649750026561,3,Poor,Good,Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Semi-Detached,281.1787916891546,56.23575833783092,529.3155609933569,150,80,759.3155609933569,E,B,Double glazing,Y,N,67,100,0,0,0
Boston_12,XX12 3YZ,Boston,97.77642187888016,6,Very Good,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Mid-Terrace,205.24705242637765,41.04941048527553,1003.4161193719067,150,80,1233.4161193719067,E,B,Double glazing,Y,N,20,100,0,0,0
