LMK_KEY,POSTCODE,CITY,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_ENERGY_EFF,ROOF_ENERGY_EFF,WINDOWS_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,HOT_WATER_ENERGY_EFF,LIGHTING_ENERGY_EFF,FLOOR_ENERGY_EFF,CONSTRUCTION_AGE_BAND,PROPERTY_TYPE,BUILT_FORM,ENERGY_CONSUMPTION_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,HEATING_COST_CURRENT,HOT_WATER_COST_CURRENT,LIGHTING_COST_CURRENT,TOTAL_COST_CURRENT,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,GLAZED_TYPE,MAINS_GAS_FLAG,SOLAR_WATER_HEATING_FLAG,LOW_ENERGY_LIGHTING,MULTI_GLAZE_PROPORTION,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,WIND_TURBINE_COUNT
Liverpool_0,XX0 0YZ,Liverpool,85.0190516910859,7,Good,Average,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Mid-Terrace,207.5402637761989,41.50805275523979,882.243820698513,150,80,1112.243820698513,C,B,Double glazing,Y,N,19,100,0,0,0
Liverpool_1,XX1 1YZ,Liverpool,119.46064192814354,4,Very Good,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Mid-Terrace,284.152070664566,56.830414132913205,1697.2494383400133,150,80,1927.2494383400133,C,B,Double glazing,Y,N,40,100,0,0,0
Liverpool_2,XX2 2YZ,Liverpool,120.41228330826567,5,Very Good,Average,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Semi-Detached,202.02929306613314,40.40585861322663,1216.3404236623928,150,80,1446.3404236623928,C,B,Double glazing,Y,N,63,100,0,0,0
Liverpool_3,XX3 3YZ,Liverpool,91.02691644651227,5,Poor,Good,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Detached,292.3348607006199,58.466972140123985,1330.517046969907,150,80,1560.517046969907,C,B,Double glazing,Y,N,92,100,0,0,0
Liverpool_4,XX4 4YZ,Liverpool,70.59868513335506,3,Poor,Average,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,187.1260199694878,37.42520399389756,660.5425482041891,150,80,890.5425482041891,E,B,Double glazing,Y,N,70,100,0,0,0
Liverpool_5,XX5 5YZ,Liverpool,111.82765304546197,6,Average,Good,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Semi-Detached,336.3479461585207,67.26958923170415,1880.650071278439,150,80,2110.650071278439,D,B,Double glazing,Y,N,28,100,0,0,0
Liverpool_6,XX6 6YZ,Liverpool,61.40986775850086,5,Poor,Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Detached,234.04044698024083,46.80808939604817,718.619644959851,150,80,948.619644959851,C,B,Double glazing,Y,N,61,100,0,0,0
Liverpool_7,XX7 7YZ,Liverpool,109.38197722593941,6,Very Good,Average,Average,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Detached,335.37690071930353,67.07538014386071,1834.2094258292502,150,80,2064.20942582925,C,B,Double glazing,Y,N,47,100,0,0,0
Liverpool_8,XX8 8YZ,Liverpool,108.35000327839738,3,Very Good,Good,Average,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Semi-Detached,152.74854148704026,30.549708297408053,827.5152485445615,150,80,1057.5152485445615,C,B,Double glazing,Y,N,52,100,0,0,0
Liverpool_9,XX9 0YZ,Liverpool,98.38217342293075,3,Poor,Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Detached,269.9427857921535,53.988557158430694,1327.8778983036345,150,80,1557.8778983036345,C,B,Double glazing,Y,N,27,100,0,0,0
Liverpool_10,XX10 1YZ,Liverpool,115.54777361197316,5,Very Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Semi-Detached,216.37905813676048,43.2758116273521,1250.105921197919,150,80,1480.105921197919,E,B,Double glazing,Y,N,62,100,0,0,0
Liverpool_11,XX11 2YZ,Liverpool,72.69010857434505,6,Average,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Mid-Terrace,249.7849755369279,49.95699510738558,907.8448496009705,150,80,1137.8448496009705,E,B,Double glazing,Y,N,77,100,0,0,0
Liverpool_12,XX12 3YZ,Liverpool,118.74215363687593,3,Average,Very Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Mid-Terrace,236.81592478841313,47.36318495768263,1406.0016462442304,150,80,1636.0016462442304,D,B,Double glazing,Y,N,47,100,0,0,0
Liverpool_13,XX13 4YZ,Liverpool,118.1755151474238,6,Average,Very Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Mid-Terrace,306.99555566937636,61.39911113387527,1813.9678969599086,150,80,2043.9678969599086,C,B,Double glazing,Y,N,59,100,0,0,0
Liverpool_14,XX14 5YZ,Liverpool,99.9653661358581,3,Average,Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Semi-Detached,227.28127038204676,45.45625407640935,1136.0127704782133,150,80,1366.0127704782133,C,B,Double glazing,Y,N,71,100,0,0,0
Liverpool_15,XX15 6YZ,Liverpool,93.04015119846049,7,Good,Average,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Detached,222.9696814537548,44.59393629075096,1037.256643756496,150,80,1267.256643756496,E,B,Double glazing,Y,N,36,100,0,0,0
Liverpool_16,XX16 7YZ,Liverpool,44.027640135537524,5,Very Good,Good,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Detached,309.46860478882724,61.89372095776545,681.2586182444685,150,80,911.2586182444685,E,B,Double glazing,Y,N,55,100,0,0,0
Liverpool_17,XX17 8YZ,Liverpool,105.54427488283,6,Good,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Semi-Detached,321.0395124194167,64.20790248388334,1694.1941273522316,150,80,1924.1941273522316,C,B,Double glazing,Y,N,40,100,0,0,0
Liverpool_18,XX18 0YZ,Liverpool,89.79686240102365,4,Good,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,286.703758027606,57.340751605521206,1287.2548954730657,150,80,1517.2548954730657,E,B,Double glazing,Y,N,37,100,0,0,0
Liverpool_19,XX19 1YZ,Liverpool,79.08861978287437,5,Poor,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,236.11177705937072,47.22235541187415,933.6877281053685,150,80,1163.6877281053685,D,B,Double glazing,Y,N,26,100,0,0,0
Liverpool_20,XX0 2YZ,Liverpool,102.23229455177162,5,Very Good,Poor,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Mid-Terrace,177.6629702942809,35.53259405885618,908.1446555033789,150,80,1138.144655503379,C,B,Double glazing,Y,N,30,100,0,0,0
Liverpool_21,XX1 3YZ,Liverpool,111.39419429790091,4,Very Good,Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Detached,309.0228632953786,61.804572659075724,1721.167643820954,150,80,1951.167643820954,D,B,Double glazing,Y,N,43,100,0,0,0
Liverpool_22,XX2 4YZ,Liverpool,99.01489914599867,6,Average,Good,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Mid-Terrace,265.07734636728105,53.01546927345621,1312.3303358222647,150,80,1542.3303358222647,E,B,Double glazing,Y,N,51,100,0,0,0
Liverpool_23,XX3 5YZ,Liverpool,58.35050310289701,5,Average,Average,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,198.97883300123158,39.79576660024632,580.5257506224594,150,80,810.5257506224594,E,B,Double glazing,Y,N,9,100,0,0,0
Liverpool_24,XX4 6YZ,Liverpool,78.85860034891468,7,Very Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Mid-Terrace,232.24841479810132,46.44968295962027,915.7392462116218,150,80,1145.7392462116218,C,B,Double glazing,Y,N,66,100,0,0,0
Liverpool_25,XX5 7YZ,Liverpool,102.90494598900304,6,Poor,Average,Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Semi-Detached,252.41030276274634,50.48206055254927,1298.713428643416,150,80,1528.713428643416,C,B,Double glazing,Y,N,29,100,0,0,0
Liverpool_26,XX6 8YZ,Liverpool,63.00830059651804,4,Very Good,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Mid-Terrace,254.56694862742793,50.91338972548559,801.9915410527673,150,80,1031.9915410527674,E,B,Double glazing,Y,N,80,100,0,0,0
