LMK_KEY,POSTCODE,CITY,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_ENERGY_EFF,ROOF_ENERGY_EFF,WINDOWS_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,HOT_WATER_ENERGY_EFF,LIGHTING_ENERGY_EFF,FLOOR_ENERGY_EFF,CONSTRUCTION_AGE_BAND,PROPERTY_TYPE,BUILT_FORM,ENERGY_CONSUMPTION_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,HEATING_COST_CURRENT,HOT_WATER_COST_CURRENT,LIGHTING_COST_CURRENT,TOTAL_COST_CURRENT,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,GLAZED_TYPE,MAINS_GAS_FLAG,SOLAR_WATER_HEATING_FLAG,LOW_ENERGY_LIGHTING,MULTI_GLAZE_PROPORTION,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,WIND_TURBINE_COUNT
Sheffield_0,XX0 0YZ,Sheffield,69.65099310660392,7,Poor,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Detached,185.17386789474176,37.034773578948354,644.8771898129921,150,80,874.8771898129921,E,B,Double glazing,Y,N,14,100,0,0,0
Sheffield_1,XX1 1YZ,Sheffield,62.09694071792949,5,Poor,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Mid-Terrace,240.87069581200672,48.174139162401346,747.8666659262304,150,80,977.8666659262304,C,B,Double glazing,Y,N,68,100,0,0,0
Sheffield_2,XX2 2YZ,Sheffield,109.577970296415,6,Very Good,Very Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Semi-Detached,363.0611182336048,72.61222364672096,1989.1750214792582,150,80,2219.1750214792582,E,B,Double glazing,Y,N,63,100,0,0,0
Sheffield_3,XX3 3YZ,Sheffield,94.60226732846402,7,Poor,Average,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Semi-Detached,217.54015962285638,43.50803192457128,1028.9896167659097,150,80,1258.9896167659097,D,B,Double glazing,Y,N,52,100,0,0,0
Sheffield_4,XX4 4YZ,Sheffield,84.3471902098118,5,Good,Very Poor,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Mid-Terrace,228.33109734294854,45.66621946858971,962.9543249200368,150,80,1192.954324920037,D,B,Double glazing,Y,N,34,100,0,0,0
Sheffield_5,XX5 5YZ,Sheffield,124.64502015987694,3,Poor,Good,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Detached,216.86259520423425,43.37251904084685,1351.5421275577505,150,80,1581.5421275577505,D,B,Double glazing,Y,N,46,100,0,0,0
Sheffield_6,XX6 6YZ,Sheffield,52.00702376292402,6,Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Semi-Detached,189.27988369362583,37.85597673872517,492.19417045489473,150,80,722.1941704548947,C,B,Double glazing,Y,N,65,100,0,0,0
Sheffield_7,XX7 7YZ,Sheffield,99.16395242891443,4,Very Good,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Mid-Terrace,345.1515243109686,69.03030486219373,1711.3294668770097,150,80,1941.3294668770097,D,B,Double glazing,Y,N,22,100,0,0,0
Sheffield_8,XX8 8YZ,Sheffield,79.47669740803417,5,Good,Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Detached,176.98080043677018,35.39616008735404,703.2924761672433,150,80,933.2924761672433,E,B,Double glazing,Y,N,68,100,0,0,0
Sheffield_9,XX9 0YZ,Sheffield,62.912231534895966,3,Poor,Average,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,154.30020142470153,30.860040284940307,485.36849989559533,150,80,715.3684998955953,E,B,Double glazing,Y,N,43,100,0,0,0
Sheffield_10,XX10 1YZ,Sheffield,66.87297997991912,6,Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Mid-Terrace,242.51967794016718,48.50393558803344,810.9006783814617,150,80,1040.9006783814616,C,B,Double glazing,Y,N,6,100,0,0,0
Sheffield_11,XX11 2YZ,Sheffield,78.80280642697375,6,Poor,Very Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Semi-Detached,292.92363926217763,58.58472785243553,1154.1602421331036,150,80,1384.1602421331036,E,B,Double glazing,Y,N,81,100,0,0,0
Sheffield_12,XX12 3YZ,Sheffield,73.02824620652315,7,Average,Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Mid-Terrace,291.69860748640764,58.33972149728153,1065.1118862808669,150,80,1295.1118862808669,D,B,Double glazing,Y,N,60,100,0,0,0
Sheffield_13,XX13 4YZ,Sheffield,99.38869705874261,6,Poor,Poor,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Mid-Terrace,169.91977225381967,33.98395445076394,844.4052384412712,150,80,1074.4052384412712,C,B,Double glazing,Y,N,7,100,0,0,0
Sheffield_14,XX14 5YZ,Sheffield,103.6441815430015,5,Very Good,Average,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Mid-Terrace,311.17786509677313,62.23557301935463,1612.5887571126793,150,80,1842.5887571126793,D,B,Double glazing,Y,N,49,100,0,0,0
Sheffield_15,XX15 6YZ,Sheffield,52.2233009261999,7,Very Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Semi-Detached,239.60981403120007,47.92196280624002,625.6607711511078,150,80,855.6607711511078,C,B,Double glazing,Y,N,96,100,0,0,0
Sheffield_16,XX16 7YZ,Sheffield,100.57630326565453,4,Average,Very Poor,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Semi-Detached,246.57120061444797,49.3142401228896,1239.9609924787633,150,80,1469.9609924787633,D,B,Double glazing,Y,N,94,100,0,0,0
Sheffield_17,XX17 8YZ,Sheffield,109.21306737866696,6,Average,Good,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,House,Semi-Detached,270.2697681921309,54.05395363842619,1475.8495201991948,150,80,1705.8495201991948,D,B,Double glazing,Y,N,78,100,0,0,0
Sheffield_18,XX18 0YZ,Sheffield,101.9133946295429,3,Poor,Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Flat,Mid-Terrace,371.0526812681113,74.21053625362227,1890.7619167213518,150,80,2120.7619167213516,D,B,Double glazing,Y,N,58,100,0,0,0
Sheffield_19,XX19 1YZ,Sheffield,85.27231027223768,3,Good,Average,Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Semi-Detached,283.62549272528884,56.72509854505777,1209.2700508393561,150,80,1439.2700508393561,E,B,Double glazing,Y,N,34,100,0,0,0
Sheffield_20,XX0 2YZ,Sheffield,103.96075584910918,6,Good,Good,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Semi-Detached,232.40978748130718,46.48195749626144,1208.0748586643765,150,80,1438.0748586643765,D,B,Double glazing,Y,N,51,100,0,0,0
Sheffield_21,XX1 3YZ,Sheffield,74.11772191355975,4,Average,Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Detached,239.7264473375134,47.94528946750268,888.3989079543722,150,80,1118.3989079543721,E,B,Double glazing,Y,N,43,100,0,0,0
Sheffield_22,XX2 4YZ,Sheffield,108.6814617858881,7,Good,Very Poor,Average,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Semi-Detached,204.89681567691193,40.979363135382386,1113.4242721520231,150,80,1343.4242721520231,C,B,Double glazing,Y,N,80,100,0,0,0
Sheffield_23,XX3 5YZ,Sheffield,87.04740496611323,5,Average,Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,269.70738894698087,53.941477789396174,1173.8664154010428,150,80,1403.8664154010428,D,B,Double glazing,Y,N,63,100,0,0,0
Sheffield_24,XX4 6YZ,Sheffield,107.9915394636914,6,Good,Average,Very Good,Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Flat,Mid-Terrace,230.21771621773067,46.04354324354614,1243.0782793083986,150,80,1473.0782793083986,C,B,Double glazing,Y,N,72,100,0,0,0
Sheffield_25,XX5 7YZ,Sheffield,94.84185292131039,6,Average,Average,Good,Good,Good,Average,Very Good,Average,England and Wales: 1900-1929,Bungalow,Semi-Detached,255.69254013370852,51.138508026741704,1212.517714221872,150,80,1442.517714221872,C,B,Double glazing,Y,N,96,100,0,0,0
Sheffield_26,XX6 8YZ,Sheffield,137.50361984600886,3,Poor,Good,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Detached,243.9365114630486,48.78730229260972,1677.107666938831,150,80,1907.107666938831,D,B,Double glazing,Y,N,38,100,0,0,0
Sheffield_27,XX7 0YZ,Sheffield,116.83638960064411,6,Poor,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Mid-Terrace,225.52943783132238,45.10588756626448,1317.5022632437315,150,80,1547.5022632437315,D,B,Double glazing,Y,N,74,100,0,0,0
Sheffield_28,XX8 1YZ,Sheffield,111.59752562560318,3,Poor,Very Poor,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Bungalow,Semi-Detached,200.40952468105473,40.08190493621095,1118.2603533104482,150,80,1348.2603533104482,D,B,Double glazing,Y,N,41,100,0,0,0
Sheffield_29,XX9 2YZ,Sheffield,94.90150674300692,4,Average,Good,Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,House,Detached,217.79963851463384,43.55992770292677,1033.4756931560496,150,80,1263.4756931560496,D,B,Double glazing,Y,N,54,100,0,0,0
Sheffield_30,XX10 3YZ,Sheffield,75.06767271582503,7,Average,Average,Average,Very Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,House,Mid-Terrace,260.29221852812935,52.058443705625876,976.9765535472811,150,80,1206.9765535472811,D,B,Double glazing,Y,N,24,100,0,0,0
Sheffield_31,XX11 4YZ,Sheffield,90.51492060893807,7,Very Good,Very Poor,Good,Good,Good,Average,Very Good,Average,England and Wales: 1950-1966,Flat,Mid-Terrace,231.80335776926077,46.36067155385216,1049.0831262684953,150,80,1279.0831262684953,C,B,Double glazing,Y,N,63,100,0,0,0
Sheffield_32,XX12 5YZ,Sheffield,50.47816843661377,7,Good,Good,Very Good,Very Good,Good,Average,Very Good,Average,England and Wales: 2007 onwards,Bungalow,Detached,234.38472143029307,46.87694428605862,591.5655723663566,150,80,821.5655723663566,D,B,Double glazing,Y,N,24,100,0,0,0
